,,,,,Crimes,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE/UT,District,Year,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
ODISHA,RAYAGADA,2002,18,33,0,15,0,15,12,0,12,8,0,1,44,65,6,59,64,6,16,0,3,27,0,56,2,24,0,55,510,959
ODISHA,ROURKELA,2002,28,24,3,18,0,18,10,8,2,3,2,17,79,218,36,182,9,8,24,2,9,47,0,44,3,18,0,32,628,1226
ODISHA,SAMBALPUR,2002,41,57,0,15,0,15,5,3,2,13,0,44,147,214,32,182,43,11,22,0,8,32,5,84,7,6,0,101,1049,1904
ODISHA,SONEPUR,2002,7,31,0,6,0,6,2,2,0,2,0,4,32,33,0,33,29,4,11,0,5,22,0,38,4,20,0,0,238,488
ODISHA,SRP(CUTTACK),2002,0,2,0,1,0,1,4,1,3,0,0,5,12,277,19,258,1,0,4,1,1,43,0,4,0,2,0,0,82,439
ODISHA,SRP(ROURKELA),2002,6,2,0,0,0,0,1,0,1,1,0,4,13,158,2,156,0,0,0,0,0,13,0,6,0,3,0,3,71,281
ODISHA,SUNDARGARH,2002,87,57,2,21,0,21,15,11,4,6,2,44,80,167,14,153,29,9,22,0,15,736,4,55,9,27,0,124,210,1721
ODISHA,TOTAL,2002,1075,1372,58,691,0,691,523,432,91,246,30,945,2884,5268,1028,4240,1598,246,793,12,405,4947,248,1605,188,1167,0,2672,20755,47728
PUNJAB,AMRITSAR,2002,51,24,4,5,0,5,32,23,9,4,7,5,94,132,71,61,0,24,153,4,3,170,9,14,0,74,0,75,436,1320
PUNJAB,BARNALA,2002,10,22,0,11,0,11,6,5,1,0,0,3,28,46,7,39,0,14,70,0,0,72,3,8,0,25,0,52,175,545
